시도,시군구,건강증진센터구분,건강증진센터명,소재지도로명주소,건강증진업무내용,운영기관전화번호,위도,경도
전라북도,고창군,정신보건,고창군정신건강복지센터,전라북도 고창군 고창읍 전봉준로 90,"중증정신질환자관리사업, 정신건강증진사업, 아동청소년 정신건강증진사업, 자살예방 심리치유지원사업",063-563-8751,35.4437625509,126.6832504419
대전광역시,유성구,건강증진,유성구 보건소 건강증진센터,대전광역시 유성구 유성대로 730번길 51,"개인별 맞춤형 운동처방, 대사증후군관리,비만,영양관리, 신체활동 교육, 체성분검사, 운동상담 등",042-611-5096,36.3581253,127.3354682
대전광역시,서구,건강증진,서구보건소 건강증진센터,대전광역시 서구 만년로 74,"개인별 맞춤형 운동처방, 대사증후군관리,비만,영양관리, 신체활동 교육, 체성분검사, 운동상담 등",042-288-4673,36.3670619,127.3810998
대전광역시,서구,건강증진,관저보건지소 건강증진센터,대전광역시 서구 구봉산북로 300,"개인별 맞춤형 운동처방, 대사증후군관리,비만,영양관리, 신체활동 교육, 체성분검사, 운동상담 등",042-288-4634,36.3010372,127.3450071
대전광역시,동구,건강증진,동구보건지소 건강증진지원센터,대전광역시 동구 현암로 22(삼성동),"개인별 맞춤형 운동처방, 비만, 신체활동 교육, 체성분검사, 운동상담 등",042-636-7629,36.3429869594,127.4204616889
대전광역시,대덕구,건강증진,대덕구 보건소 건강생활지원센터,대전광역시 대덕구 동춘당로 187,"개인별 맞춤형 운동처방, 대사증후군관리,비만,영양관리, 신체활동 교육, 체성분검사, 운동상담 등",042-608-4474,36.3672076725,127.4308386054
전라남도,장성군,건강증진,장성군정신건강복지센터,전라남도 장성군 장성읍 청운11길 13,"정신질환자 등록관리,자살예방사업, 아동청소년 정신보건사업",061-395-0199,35.30454285,126.7824532
전라남도,장성군,정신보건,장성군치매안심센터,전라남도 장성군 장성읍 성산5길17,"치매환자 등록 및 관리사업, 조호물품 지원, 인지재활프로그램 운영, 치매환자 가족 지원사업, 치매안심마을 운영, 치매조기검진사업, 치매치료관리비 지원, 실종예방 인식표 발급등",061-390-7160,35.3233002988,126.8083670054
경상북도,포항시,건강증진,통합건강증진센터,경상북도 포항시 북구 삼흥로 98,"대사증후군 관리 원스톱 운영, 생애주기별, 생활터별 건강증진 프로그램 운영, 모바일헬스케어 운영",054-270-4105,36.07066182,129.3804374
경상북도,포항시,건강증진,통합건강증진센터,경상북도 포항시 남구 동해안로 6119,"대사증후군 관리 원스톱 운영, 생애주기별, 생활터별 건강증진 프로그램 운영, 모바일헬스케어 운영",054-270-4081,35.99244128,129.396245
경상북도,성주군,건강증진,건강증진센터,경상북도 성주군 성밖숲길 12,건강증진상담및교육,054-930-8193,35.91741735,128.2785293
강원도,양구군,정신보건,양구군정신건강증진센터,강원도 양구군 양구읍 관공서로 42,"정신장애인 재활프로그램 운영, 자살예방",033-480-2789,38.10994446,127.9892036
전라남도,나주시,건강증진,빛가람건강생활지원센터,전라남도 나주시 빛가람로 721,건강증진,061-339-4751,35.0222053958,126.790659
전라남도,나주시,정신보건,나주시정신건강증진센터,전라남도 나주시 건재로 211,정신보건,061-330-4114,35.051091,126.7237199
경기도,용인시,건강증진,수지구보건소 건강증진센터,경기도 용인시 수지구 포은대로 435,"모바일헬스케어, 운동관리, 영양관리, 건강관리, 영양플러스사업",031-324-8838,37.3222219027,127.0974474224
경기도,용인시,정신보건,용인시정신건강복지센터,경기도 용인시 기흥구 신갈로58번길 11,"정신질환자 관리 및 정신건강증진사업,자살예방사업",031-286-0949,37.272634,127.106729
경기도,용인시,정신보건,용인시정신건강복지센터 부설자살예방센터,경기도 용인시 기흥구 신갈로58번길 11,자살예방 및 생명존중사업,031-286-0949,37.272634,127.106729
충청남도,계룡시,건강증진,통합건강증진센터,충청남도 계룡시 장안로 54,"신체활동, 영양, 비만, 만성질환 검사 및 상담",042-840-3531,36.2730058,127.250047
경기도,화성시,건강증진,웰빙건강클리닉센터(우정),경기도 화성시 우정읍 쌍봉로 109-14,생애주기별_신체활동프로그램_제공,031-369-6413,37.0898259089,126.8153597
경기도,화성시,건강증진,웰빙건강클리닉센터(우정),경기도 화성시 우정읍 쌍봉로 109-14,생애주기별_신체활동프로그램_제공,031-369-6413,37.0898259089,126.8153597
경기도,화성시,건강증진,웰빙건강클리닉센터(서신),경기도 화성시 서신면 궁평항로 1702,생애주기별_신체활동프로그램_제공,031-369-6482,37.1665869768,126.7087356267
경기도,화성시,건강증진,웰빙건강클리닉센터(서신),경기도 화성시 서신면 궁평항로 1702,생애주기별_신체활동프로그램_제공,031-369-6482,37.1665869768,126.7087356267
경기도,화성시,건강증진,U_만성질환관리센터(보건소),경기도 화성시 향남읍 3.1만세로 1055,고혈압_당뇨병_이상지질혈증_비만_비약물관리,031-369-6371,37.1292815681,126.9045557299
경기도,화성시,건강증진,U_만성질환관리센터(동탄),경기도 화성시 노작로 226-9,고혈압_당뇨병_이상지질혈증_비만_비약물관리,031-369-4374,37.2070698,127.0786006746
경기도,화성시,건강증진,U_만성질환관리센터(기배),경기도 화성시 기안남로 62,고혈압_당뇨병_이상지질혈증_비만_비약물관리,031-369-4491,37.2243352918,126.9846364182
경기도,화성시,건강증진,U_만성질환관리센터(봉담),경기도 화성시 봉담읍 동화새터길 109,고혈압_당뇨병_이상지질혈증_비만_비약물관리,031-369-6253,37.2170543838,126.9611048104
경기도,화성시,건강증진,U_만성질환관리센터(정남),경기도 화성시 정남면 서봉로 998,고혈압_당뇨병_이상지질혈증_비만_비약물관리,031-369-4481,37.160272937,126.9711096594
경기도,화성시,건강증진,U_만성질환관리센터(정남),경기도 화성시 정남면 서봉로 998,고혈압_당뇨병_이상지질혈증_비만_비약물관리,031-3699-4481,37.160272937,126.9711096594
경기도,화성시,건강증진,웰빙건강클리닉센터(우정),경기도 화성시 우정읍 쌍봉로 109-14,생애주기별_신체활동프로그램_제공,031-5189-6413,37.0898259089,126.8153597
경기도,화성시,건강증진,웰빙건강클리닉센터(우정),경기도 화성시 우정읍 쌍봉로 109-14,생애주기별_신체활동프로그램_제공,031-5189-6413,37.0898259089,126.8153597
경기도,화성시,건강증진,U_만성질환관리센터(보건소),경기도 화성시 향남읍 3.1만세로 1055,고혈압_당뇨병_이상지질혈증_비만_비약물관리,031-5189-6371,37.1292815681,126.9045557299
경기도,화성시,건강증진,U_만성질환관리센터(동탄),경기도 화성시 노작로 226-9,고혈압_당뇨병_이상지질혈증_비만_비약물관리,031-5189-4374,37.2070698,127.0786006746
경기도,화성시,건강증진,U_만성질환관리센터(기배),경기도 화성시 기안남로 62,고혈압_당뇨병_이상지질혈증_비만_비약물관리,031-5189-4491,37.2243352918,126.9846364182
경기도,화성시,건강증진,U_만성질환관리센터(봉담),경기도 화성시 봉담읍 동화새터길 109,고혈압_당뇨병_이상지질혈증_비만_비약물관리,031-5189-6253,37.2170543838,126.9611048104
경기도,화성시,건강증진,U_만성질환관리센터(정남),경기도 화성시 정남면 서봉로 998,고혈압_당뇨병_이상지질혈증_비만_비약물관리,031-5189-4481,37.160272937,126.9711096594
부산광역시,금정구,건강생활지원,장전2동건강생활지원센터,"부산광역시 금정구 금정로 29-6, 5층","금연, 절주, 신체활동, 영양, 만성질환예방 및 관리사업, 비만",051-519-5801,35.22747442,129.0855113
부산광역시,남구,건강생활지원,문현2동건강생활지원센터,부산광역시 남구 전포대로92번길 31-7,"심뇌혈관질환예방관리, 신체활동, 치매",051-607-6931,35.14527179,129.0686869
부산광역시,금정구,건강생활지원,금정구건강생활지원센터,부산광역시 금정구 서동로 175번길 41-5,"금연, 절주, 신체활동, 영양, 만성질환예방 및 관리사업, 재활",051-519-5481,35.21544759,129.1074472
부산광역시,동구,건강생활지원,행복동구건강생활지원센터,부산광역시 동구 안창로 90,"재활, 한의약건강증진, 아토피 천식 예방관리, 만성질환 예방 및 관리, 금연, 절주, 신체활동, 영양",051-440-6391,35.14449013,129.0396681
부산광역시,동래구,건강생활지원,동래구건강생활지원센터,부산광역시 동래구 명장로32,"영양, 신체활동, 심뇌혈관질환예방관리, 금연, 절주, 비만, 치매",051-550-1992,35.20469662,129.1042478
부산광역시,부산진구,건강생활지원,당감건강생활지원센터,"부산광역시 부산진구 백양순환로 40, 당감4동주민센터 4층~5층","심뇌혈관, 신체활동, 비만, 영양, 구강, 금연, 절주, 치매",051-605-6113,35.16822222,129.0334223
부산광역시,부산진구,건강생활지원,개금2동건강생활지원센터,"부산광역시 부산진구 복지로 93, 개금2동주민센터 2층","심뇌혈관, 신체활동, 비만, 치매",051-605-6693,35.14490697,129.0195347
부산광역시,사하구,건강생활지원,다대건강생활지원센터,부산광역시 사하구 다대로 530번길 7,"만성질환 예방 및 관리사업, 신체활동, 영양, 금연절주, 정신건강관리",051-220-5727,35.05916984,128.9713294
부산광역시,중구,건강생활지원,중구건강생활지원센터,부산광역시 중구 흑교로 48(보수동1가),"영양, 금연, 절주, 심뇌혈관질환예방관리, 운동, 재활",051-600-4726,35.10377395,129.0253563
부산광역시,남구,건강생활지원,문현1동건강생활지원센터,부산광역시 남구 고동골로60번길 1,"심뇌혈관질환예방관리, 신체활동, 치매",051-607-6912,35.14253417,129.0713224
경기도,남양주시,건강생활지원,화도건강생활지원센터,경기도 남양주시 화도읍 비룡로 59,"신체활동, 비만, 영양, 만성질환예방관리",031-590-8433,37.65784853,127.3007112
부산광역시,남구,건강생활지원,용호3동건강생활지원센터,부산광역시 남구 동명로164번길 40,"심뇌혈관질환예방관리, 신체활동, 치매",051-607-6771,35.11733521,129.1141211
부산광역시,사하구,건강생활지원,장림1동건강생활지원센터,부산광역시 사하구 장림로161번길2 보림행복센터,"금연, 치매, 신체활동, 심뇌혈관질환예방관리",051-262-9485,35.08305432,128.9668712
부산광역시,부산진구,건강생활지원,개금3동건강생활지원센터,부산광역시 부산진구 개금본동로 88,"심뇌혈관, 신체활동, 비만, 치매",051-605-6548,35.15576358,129.0219366
대구광역시,북구,건강생활지원,구암건강생활지원센터,대구광역시 북구 구암서로 30,"건강동아리, 신체활동, 금연, 치매, 방문건강관리",053-665-4281,35.9386464,128.5660100361
대구광역시,서구,건강생활지원,서구건강생활지원센터(대구광역시),대구광역시 서구 서대구로7길 46,"신체활동, 심뇌혈관질환예방관리",053-663-3231,35.86074781,128.551416
대구광역시,수성구,건강생활지원,고산건강생활지원센터,대구광역시 수성구 욱수천로 99,"모바일헬스케어, 심뇌혈관질환예방관리, 신체활동, 구강, 금연, 방문, 모자보건, 치매",053-666-3160,35.8369885,128.7128212
인천광역시,계양구,건강생활지원,효성건강생활지원센터,"인천광역시 계양구 봉오대로 543번길 21, 효성평생건강센터 3층","금연, 신체활동, 심뇌혈관질환예방관리",032-430-7793,37.53252721,126.7086103
인천광역시,남동구,건강생활지원,간석건강생활지원센터,인천광역시 남동구 간석로 41번길 18,"만성질환예방관리, 장애인재활사업, 치매주간보호센터사업, 이동건강관리사업, 건강생활실천사업",032-453-5960,37.46745879,126.7130108
인천광역시,부평구,건강생활지원,열우물건강생활지원센터,인천광역시 부평구 열우물로 103,"금연, 신체활동, 심뇌혈관질환예방관리",032-459-3164,37.47580459,126.6961223
인천광역시,서구,건강생활지원,가좌건강생활지원센터,인천광역시 서구 건지로 284번길 60,"건강원스톱사업, 심뇌혈관예방사업, 건강증진프로그램, 금연 및 흡연예방, 임산부등록 및 관리, 구강, 혈관노화도, 혈압ㆍ혈당ㆍ재활기구 대여사업",032-718-0570,37.49392982,126.6730351
인천광역시,서구,건강생활지원,검단건강생활지원센터,인천광역시 서구 완정로 214,"금연, 임산부, 신체활동, 심뇌혈관질환예방관리",032-718-0580,37.60359312,126.6529572
인천광역시,서구,건강생활지원,석남건강생활지원센터,"인천광역시 서구 길주로 79, 6층","건강생활실천사업, 심뇌혈관질환예방관리, 금연, 임산부등록, 재활기구대여, 불소양치용액배부 및 틀니세척",032-718-0550,37.50676483,126.670879
인천광역시,서구,건강생활지원,완정건강생활지원센터,"인천광역시 서구 청마로 167번길 19, 2층","건강생활실천, 심뇌혈관질환예방, 신체활동, 금연, 구강, 모자, 재활",032-718-0530,37.59210015,126.6746299
인천광역시,연수구,건강생활지원,송도건강생활지원센터,인천광역시 연수구 인천타워대로54번길 19,"만성질환관리, 건강생활실천관리, 장애인재활관리, 모자보건관리",032-749-6915,37.37978091,126.6465727
광주광역시,광산구,건강생활지원,수완건강생활지원센터,광주광역시 광산구 장덕로 158,"건강생활실천사업, 신체활동, 아토피, 심뇌혈관질환예방관리, 모자보건사업, 재활사업 등",062-960-8822,35.19707398,126.8257309
광주광역시,광산구,건강생활지원,우산건강생활지원센터,광주광역시 광산구 사암로 167,"구강, 건강생활실천, 모바일 헬스케어, 대사증후군, 재활",062-960-3801,35.15931267,126.8075588
경기도,남양주시,건강생활지원,호평건강생활지원센터,경기도 남양주시 호평로68번길 21,"신체활동, 비만, 만성질환예방관리, 스트레스관리",031-590-8088,37.65456793,127.2489488
광주광역시,남구,건강생활지원,월산건강생활지원센터,광주광역시 남구 중앙로 12,"만성질환예방관리, 건강생활실천, 치매예방관리, 영양교육, 운동처방실, 건강동아리활동지원지역사회 연계협력",062-607-6151,35.14458489,126.8999216
광주광역시,남구,건강생활지원,주월건강생활지원센터,광주광역시 남구 군분로 13번길 10,"신체활동, 영양교육, 건강의날, 운동처방실, 건강동아리활동지원, 만성질환예방관리, 지역사회 연계협력, 심뇌혈관질환 예방관리",062-607-3133,35.13480924,126.8944811
광주광역시,동구,건강생활지원,지원건강생활지원센터,"광주광역시 동구 지원로 31-9, 2층(소태동)","만성질환예방 및 관리사업, 신체활동, 영양, 비만, 재활",062-608-3950,35.1253006,126.9351767
광주광역시,북구,건강생활지원,두암건강생활지원센터,광주광역시 북구 군왕로 141번길 6,"방문건강관리, 재활보건",062-410-8984,35.17431405,126.9324676
광주광역시,북구,건강생활지원,본촌건강생활지원센터,광주광역시 북구 양산택지로79번길 26,"만성질환예방관리, 신체활동, 방문, 어린이, 임산부",062-410-6226,35.2140802,126.879098
광주광역시,서구,건강생활지원,서구건강생활지원센터(광주광역시),광주광역시 서구 운천로 172번길 32,심뇌혈관질환예방관리,062-350-4173,35.14818147,126.8601043
광주광역시,서구,건강생활지원,쌍촌건강생활지원센터,"광주광역시 서구 쌍학로 47, 쌍촌종합사회복지관 2층","금연, 신체활동, 심뇌혈관질환예방관리",062-350-4741,35.14738171,126.8688313
대전광역시,대덕구,건강생활지원,남부건강생활지원센터(대전광역시),대전광역시 대덕구 동춘당로 187,"금연, 영양, 신체활동, 심뇌혈관질환예방관리",042-608-4472,36.36720767,127.4308386
울산광역시,남구,건강생활지원,무거건강생활지원센터,울산광역시 남구 대학로 147번길 41-26,"신체활동, 영양, 금연, 심뇌혈관질환예방관리, 재활, 방문",052-226-2340,35.55124507,129.2596407
세종특별자치시,마음로,건강생활지원,고운동건강생활지원센터,세종특별자치시 마음로 64,"심뇌혈질환관리사업, 신체활동, 영양 등",044-301-2900,36.50497406,127.2353641
경기도,고양시,건강생활지원,고양건강생활지원센터,"경기도 고양시 덕양구 혜음로 19-11, 고양동종합복지회관 3층","신체활동, 영양교육, 대사증후군예방관리",02-8075-9668~,37.70251731,126.9011967
경기도,광명시,건강생활지원,100세건강생활지원센터,경기도 광명시 오리로 1018,"심뇌혈관질환예방관리, 신체활동, 금연, 임산부, 아토피천식",02-2680-5173~,37.48091392,126.8504732
경기도,광주시,건강생활지원,오포건강생활지원센터,경기도 광주시 오포읍 오포로 884-1,"모바일헬스케어, 아토피천식 예방관리, 재활사업, 신체활동",031-760-2558,37.36912576,127.2322113
경기도,남양주시,건강생활지원,다산건강생활지원센터,"경기도 남양주시 다산중앙로 7, 다산행정복지센터 2층","신체활동, 비만, 영양, 만성질환예방관리",031-590-8583,37.61392759,127.1555489
경기도,남양주시,건강생활지원,별내건강생활지원센터,경기도 남양주시 별내3로 64-21,"신체활동, 비만, 심뇌혈관질환예방관리",031-590-8190,37.64616615,127.1218825
경기도,남양주시,건강생활지원,오남건강생활지원센터,"경기도 남양주시 오남읍 진건오남로 806-34, 오남읍사무소 2층","신체활동, 비만, 심뇌혈관질환예방관리",031-590-8501,37.69857479,127.2048424
경기도,남양주시,건강생활지원,와부건강생활지원센터,경기도 남양주시 와부읍 월문천로 35,"신체활동, 영양, 만성질환예방관리, 구강건강관리",031-590-2751,37.58551527,127.2163281
경기도,시흥시,건강생활지원,배곧건강생활지원센터,경기도 시흥시 배곧4로 94-41,"신체활동, 만성질환 예방 및 관리사업",031-428-0005~,37.37170542,126.735733
경기도,시흥시,건강생활지원,중부건강생활지원센터,경기도 시흥시 목감우회로 23,"재활보건사업, 영양, 심뇌혈관질환예방관리, 금연, 구강, 여성과 어린이 건강증진, 신체활동, 기타",031-310-0702,37.38165404,126.8587492
경기도,안산시,건강생활지원,서부건강생활지원센터(안산시),경기도 안산시 단원구 신길중앙로 15(신길동),"대사증후군 검진, 금연클리닉, 흡연예방교육, 비만ㆍ고지혈증 관리, 당뇨ㆍ고혈압 관리, 영양운동절주 통합상담, 나트륨줄이기 염도계 대여",031-481-6466,37.33799202,126.7621943
경기도,안산시,건강생활지원,반월건강생활지원센터,경기도 안산시 상록구 건건로 119-4,"금연, 신체활동, 심뇌혈관질환예방관리",031-481-3792,37.31219292,126.904515
경기도,안성시,건강생활지원,공도건강생활지원센터,경기도 안성시 공도읍 공도로 51-11,"신체활동, 만성질환예방관리",031-678-6801,36.99971892,127.1661071
경기도,양주시,건강생활지원,동부건강생활지원센터(양주시),경기도 양주시 화합로 1426번길 90,"금연, 신체활동, 심뇌혈관, 대사증후군, 모바일헬스케어, 영양플러스, 재활",031-8082-4365,37.83814181,127.068036
경기도,양주시,건강생활지원,서부건강생활지원센터(양주시),경기도 양주시 광적면 부흥로 618번길 303,"금연, 신체활동, 심뇌혈관, 대사증후군, 한의약, 영양사업",031-8082-4375,37.81249969,126.9723072
경기도,오산시,건강생활지원,오산시건강생활지원센터,"경기도 오산시 문헌공로 45, 1층","심뇌혈관질환예방관리, 한의약건강증진, 운동관리",031-8036-6580,37.17664285,127.0545674
경기도,이천시,건강생활지원,마장건강생활지원센터,경기도 이천시 마장면 중앙로 81,"금연, 신체활동, 심뇌혈관질환예방관리, 모자보건, 구강, 치매",031-644-7186~,37.24993986,127.3585048
경기도,평택시,건강생활지원,포승건강생활지원센터,경기도 평택시 포승읍 여술로 47,"금연, 신체활동, 심뇌혈관질환예방관리, 만성질환, 영양, 비만예방, 재활",031-8024-8626,36.98936154,126.847404
강원도,강릉시,건강생활지원,남부건강생활지원센터(강릉시),강원도 강릉시 강릉대로313번길 6,"재활사업, 만성질환예방및관리사업",033-660-2488,37.76499482,128.9019205
강원도,고성군,건강생활지원,고성군건강생활지원센터,강원도 고성군 거진읍 행랑골길 24-1,"구강보건, 방문건강관리, 치매관리, 심뇌혈관질환관리, 신체활동, 금연",033-680-4129/,38.44927612,128.4551781
강원도,동해시,건강생활지원,북삼건강생활지원센터,강원도 동해시 청운로 96,"대사증후군, 신체활동, 비만, 금연",033-530-2423,37.48852873,129.1026735
강원도,원주시,건강생활지원,남원주건강생활지원센터,강원도 원주시 단관공원길 86,"금연, 신체활동, 영양, 건강상담실",033-737-5205,37.31637775,127.9573873
강원도,원주시,건강생활지원,서원주건강생활지원센터,강원도 원주시 지정면 가곡로 75-2,"만성질환 관리, 금연, 영양, 운동",033-737-3723,37.37717937,127.8754203
강원도,철원군,건강생활지원,서면건강생활지원센터,강원도 철원군 서면 무금로48번길 15,"금연, 구강, 신체활동, 심뇌혈관질환예방관리",033-450-5654,38.24438377,127.4374319
강원도,춘천시,건강생활지원,춘천시건강생활지원센터,강원도 춘천시 우두하리길 21(우두동),"신체활동, 만성질환예방관리, 재활, 영양, 신체활동, 금연, 절주",033-250-4489~,37.90185741,127.741043
강원도,평창군,건강생활지원,평창군건강생활지원센터,강원도 평창군 진부면 석두산2길 13,"운동, 영양, 신체활동, 금연, 심뇌혈관질환예방관리",033-336-6128,37.63726765,128.553517
강원도,홍천군,건강생활지원,북방면건강생활지원센터,강원도 홍천군 북방면 상화계2길 17,북방면 건강증진프로그램 운영-만성질환관리사업-신체활동증진사업-영양사업-건강플러스마을사업등,033-430-4131~,37.70603412,127.854258
충청북도,음성군,건강생활지원,맹동건강생활지원센터,충청북도 음성군 맹동면 사예2길 35,"신체활동, 만성질환 예방 및 관리사업",043-871-2191,36.91364052,127.5449461
충청북도,제천시,건강생활지원,용두동건강생활지원센터,충청북도 제천시 용두대로17길 8,"신체활동, 만성, 영양, 구강",043-641-3282,37.14231622,128.200363
충청북도,진천군,건강생활지원,덕산건강생활지원센터,충청북도 진천군 덕산읍 연미로 31,"신체활동, 영양, 임산부어린이, 만성질환예방관리",043-539-7422,36.89973094,127.5282012
충청남도,금산군,건강생활지원,금산군건강생활지원센터,충청남도 금산군 금산읍 건삼전3길 14,"신체활동, 심뇌혈관질환예방관리, 금연, 절주, 구강",041-754-8334,36.10157802,127.491428
충청남도,논산시,건강생활지원,논산시건강생활지원센터,충청남도 논산시 해월로125번길 26,"신체활동, 영양, 구강보건, 대사증후군관리",041-746-8027,36.20478349,127.0822883
충청남도,당진시,건강생활지원,송악건강생활지원센터,충청남도 당진시 송악읍 신복운로 99,"신체활동, 심뇌혈관질환예방관리, 영양실습교육",041-360-6080,36.93870119,126.7786187
충청남도,아산시,건강생활지원,배방건강생활지원센터,충청남도 아산시 배방읍 용연동길 50,"금연, 신체활동, 심뇌혈관질환예방관리, 만선질환관리, 아토피천식사업, 건강프로그램",041-536-8722,36.79320709,127.0939081
충청남도,천안시,건강생활지원,청수건강생활지원센터,"충청남도 천안시 동남구 청수6로 106-3, 6층","금연, 한의약, 신체활동, 심뇌혈관질환예방관리, 치매, 영양, 비만, 방문건강관리",041-521-5897,36.78962635,127.1553044
충청남도,천안시,건강생활지원,성정건강생활지원센터,충청남도 천안시 서북구 서부8길 29,"금연, 신체활동, 심뇌혈관질환예방관리, 구강, 방문, 영양, 어린이",041-521-2584,36.8197755,127.1398835
충청남도,태안군,건강생활지원,안면읍건강생활지원센터,충청남도 태안군 안면읍 장터로 149,"신체활동, 치매, 금연, 심뇌혈관질환예방관리, 구강",041-671-5271,36.52067135,126.344492
전라북도,군산시,건강생활지원,서부건강생활지원센터(군산시),전라북도 군산시 설림5길 83,"신체활동, 영양, 비만, 치매, 방문",063-454-5172,35.97431549,126.6792743
전라북도,익산시,건강생활지원,동부건강생활지원센터(익산시),전라북도 익산시 금마면 고도길 26-6,"신체활동, 영양, 만성및심뇌혈관질환예방관리, 치매예방관리, 금연, 절주",063-859-7472,35.99379252,127.0501633
전라북도,익산시,건강생활지원,익산시건강생활지원센터,전라북도 익산시 목천로 326,"통합건강증진사업, 만성질환예방관리사업, 재활보건사업",063-859-4908,35.92690996,126.9566872
전라북도,장수군,건강생활지원,장계면건강생활지원센터,전라북도 장수군 장계면 한들로 124,"심뇌혈관질환 예방관리, 영양, 신체활동, 금연, 장계면 보건사업 등",063-352-8700,35.73112933,127.5856748
전라남도,광양시,건강생활지원,골약건강생활지원센터,전라남도 광양시 성황3길 19(성황동),"금연, 영양, 신체활동, 만성질환관리, 치매예방, 임산부및 어린이건강증진",061-797-4894,34.93757509,127.6777208
전라남도,광양시,건강생활지원,광영건강생활지원센터,전라남도 광양시 금영로 127,"금연, 영양, 신체활동, 심뇌혈관질환예방관리, 치매",061-797-4075,34.96197069,127.7194206
전라남도,나주시,건강생활지원,빛가람건강생활지원센터,전라남도 나주시 빛가람로 721,"신체활동, 심뇌혈관질환예방관리, 여성어린이특화, 금연, 방문건강관리",061-339-4751,35.0222063,126.7906417
전라남도,무안군,건강생활지원,남악건강생활지원센터,전라남도 무안군 삼향읍 남악3로 40,"신체활동, 금연, 치매, 모자보건, 만성질환예방관리",061-450-5004,34.80941904,126.4610002
전라남도,순천시,건강생활지원,신대건강생활지원센터,전라남도 순천시 해룡면 신대로 142,"금연, 신체활동, 건강검진, 영양사업",061-749-3640,34.93618947,127.5500873
전라남도,순천시,건강생활지원,연향건강생활지원센터,전라남도 순천시 팔마3길 14-7,"금연, 절주, 신체활동, 영양, 비만, 심뇌혈관",061-749-4260,34.93468249,127.516378
전라남도,완도군,건강생활지원,완도군건강생활지원센터,전라남도 완도군 완도읍 청해진동로70,"신체활동, 비만예방, 영양사업, 대사증후군발견사업",061-550-6714,34.31779883,126.7355876
경상북도,김천시,건강생활지원,봉산면건강생활지원센터,경상북도 김천시 봉산면 예지송정길 9,"심뇌혈관사업, 치매예방사업, 신체활동, 심폐소생술 체험관, 치매분소",054-421-2871,36.14144378,128.0598364
경상남도,김해시,건강생활지원,동부건강생활지원센터(김해시),경상남도 김해시 분성로727번길 8-35(지내동),"재활, 만성질환관리, 금연, 절주, 영양, 신체활동",055-320-5951,35.2300251,128.9224445
경상남도,김해시,건강생활지원,주촌건강생활지원센터,경상남도 김해시 주촌면 주선로 29-1,"금연, 신체활동, 영양, 심뇌혈관질환예방관리",055-330-2602,35.23477742,128.8457571
경상남도,사천시,건강생활지원,삼천포건강생활지원센터,"경상남도 사천시 동금로 33, 2층","신체활동, 만성질환예방관리",055-831-5461,34.93092199,128.0790908
경상남도,양산시,건강생활지원,동부건강생활지원센터(양산시),경상남도 양산시 덕계회야길 68(덕계동),"신체활동, 절주, 영양, 심뇌, 치매, 비만",055-392-6981,35.37512088,129.149228
경상남도,창원시,건강생활지원,동부건강생활지원센터(창원시),경상남도 창원시 진해구 용원로 41번길 8,"금연, 영양, 신체활동, 심뇌혈관질환예방관리",055-225-6221,35.10025913,128.8143601
경상남도,함안군,건강생활지원,함안군건강생활지원센터,경상남도 함안군 칠원읍 용산1길 54-5,"농부증재활, 신체활동, 심뇌혈관질환예방관리",055-580-3312,35.31011238,128.5167043
제주특별자치도,제주시,건강생활지원,노형건강생활지원센터,제주특별자치도 제주시 노형9길 9-4,"장애인 지역사회중심재활사업, 건강상담실 운영 등",064-728-8721,33.48288157,126.4769921
제주특별자치도,제주시,건강생활지원,화북건강생활지원센터,제주특별자치도 제주시 동화로1길 45-22,건강생활실천사업,064-728-8511,33.51836381,126.5783832
